title,author,year,price,category
Il nome della rosa,Umberto Eco,1980,12.22,Historical Fiction
Divina Commedia,Dante Alighieri,1320,23.01,Poetry
I Promessi Sposi,Alessandro Manzoni,1827,22.19,Historical Fiction
La coscienza di Zeno,Italo Svevo,1923,5.99,Psychological Fiction
Il Gattopardo,Giuseppe Tomasi di Lampedusa,1958,26.69,Historical Fiction
Se questo è un uomo,Primo Levi,1947,18.48,Non-fiction
Il deserto dei tartari,Dino Buzzati,1940,10.81,Philosophical Fiction
La luna e i falò,Cesare Pavese,1950,13.44,Fiction
Siddharta,Hermann Hesse,1922,28.2,Philosophical Fiction
Il piccolo principe,Antoine de Saint-Exupéry,1943,29.28,Fable
La metamorfosi,Franz Kafka,1915,14.49,Absurdist Fiction
Fahrenheit 451,Ray Bradbury,1953,24.18,Dystopian Fiction
1984,George Orwell,1949,9.57,Dystopian Fiction
Il grande Gatsby,F. Scott Fitzgerald,1925,28.96,Tragedy
Moby Dick,Herman Melville,1851,14.36,Adventure Fiction
Orgoglio e pregiudizio,Jane Austen,1813,14.6,Romantic Fiction
Il ritratto di Dorian Gray,Oscar Wilde,1890,13.75,Gothic Fiction
Guerra e pace,Lev Tolstoj,1869,20.24,Historical Fiction
Anna Karenina,Lev Tolstoj,1877,13.05,Romantic Fiction
Il conte di Montecristo,Alexandre Dumas,1844,5.93,Adventure Fiction
Don Chisciotte della Mancia,Miguel de Cervantes,1605,29.27,Satire
Le avventure di Sherlock Holmes,Arthur Conan Doyle,1892,27.61,Detective Fiction
Il processo,Franz Kafka,1925,24.12,Absurdist Fiction
La nausea,Jean-Paul Sartre,1938,13.14,Existential Fiction
La peste,Albert Camus,1947,27.82,Philosophical Fiction
Il lupo della steppa,Hermann Hesse,1927,28.63,Philosophical Fiction
Il maestro e Margherita,Michail Bulgakov,1966,23.23,Magic Realism
Lolita,Vladimir Nabokov,1955,15.25,Controversial Fiction
L'amore ai tempi del colera,Gabriel Garcia Marquez,1985,16.86,Romantic Fiction
Cent'anni di solitudine,Gabriel Garcia Marquez,1967,28.7,Magic Realism
Cime tempestose,Emily Brontë,1847,6.88,Gothic Fiction
Jane Eyre,Charlotte Brontë,1847,20.48,Gothic Fiction
Il richiamo della foresta,Jack London,1903,8.31,Adventure Fiction
Viaggio al centro della Terra,Jules Verne,1864,25.68,Science Fiction
Dracula,Bram Stoker,1897,26.9,Horror
Frankenstein,Mary Shelley,1818,10.81,Science Fiction
Robinson Crusoe,Daniel Defoe,1719,23.98,Adventure Fiction
La tempesta,William Shakespeare,1611,24.56,Drama
